,Boat Type,Length,Width,Views,Price_USD,Country,City,t3,Age
843,Deck Boat,7.88,2.55,176,45686.424999999996,Germany , Kieler Bucht mit Fehmarn ,new,4
846,Deck Boat,7.0,2.5,200,45472.5,Italy , Toscana ,new,4
848,Bowrider,5.73,2.29,257,50224.299999999996,Switzerland , Lake Constance ,new,5
850,Sport Boat,6.66,2.55,66,45365.0,Germany , Niedersachsen ,new,4
852,Sport Boat,7.15,2.45,222,51122.183,Switzerland , Lake of Zurich ,new,4
880,Bowrider,6.48,2.46,62,47298.924999999996,Germany , Kieler Bucht mit Fehmarn ,new,4
884,Deck Boat,6.4,2.48,51,48267.5,France ," LA ROCHELLE, LA ROCHELLE",new,5
887,Sport Boat,5.7,2.38,60,48267.5,Germany , Bayern ,new,4
910,Passenger boat,7.25,2.5,170,48375.0,Switzerland , Lake Geneva ,new,5
916,Fishing Boat,5.75,2.54,202,53741.1,Switzerland , Lake Geneva ,new,4
919,Sport Boat,6.45,2.5,123,53620.21,Switzerland , Luganersee ,new,5
930,Fishing Boat,5.7,2.3,201,54914.832,Switzerland , Villarepos,new,4
931,Sport Boat,6.48,2.46,62,49665.0,Germany , Niedersachsen ,new,4
933,Cabin Boat,5.7,2.5,209,54840.1,Switzerland , Lake Geneva ,new,6
936,Bowrider,6.1,2.34,234,54840.1,Switzerland , Vierwaldst¤ttersee ,new,4
945,Sport Boat,6.99,2.56,97,50632.5,Germany , Niedersachsen ,new,4
946,Cabin Boat,6.4,2.38,156,55939.1,Switzerland , Lago Maggiore ,new,4
955,Center console boat,6.31,2.48,31,50525.0,France ," GRANVILLE, France",new,4
997,Motor Yacht,7.46,2.55,70,53211.424999999996,Germany , Nordrhein-Westfalen ,new,6
998,Pilothouse,8.23,2.79,91,53201.75,Austria , Wiener Neustadt,new,4
1005,Sport Boat,7.28,2.5,59,52997.5,Germany , im Vorlauf,new,5
1011,Cabin Boat,6.5,2.55,119,53642.5,Germany , Stadtprozelten ,new,4
1013,Cabin Boat,6.35,2.29,89,53631.75,Germany , Ostsee ,new,4
1014,Bowrider,5.99,2.21,194,59258.08,Switzerland , Luganersee ,new,4
1015,Pilothouse,6.6,2.48,186,59236.1,Switzerland , Vierwaldst¤ttersee ,new,5
